SUCCESS 0 1 1 3 2 4 #vars: (size-variables 604831); #primary: (size-primary 4880); #clauses: (size-clauses 633437)
SUCCESS 0 1 1 3 3 4 #vars: (size-variables 604831); #primary: (size-primary 4880); #clauses: (size-clauses 633437)
SUCCESS 0 1 1 4 2 3 #vars: (size-variables 604831); #primary: (size-primary 4880); #clauses: (size-clauses 633437)
SUCCESS 0 1 1 4 3 3 #vars: (size-variables 604831); #primary: (size-primary 4880); #clauses: (size-clauses 633437)
SUCCESS 0 2 1 3 2 4 #vars: (size-variables 604831); #primary: (size-primary 4880); #clauses: (size-clauses 633437)
SUCCESS 0 2 1 3 3 4 #vars: (size-variables 604831); #primary: (size-primary 4880); #clauses: (size-clauses 633437)
SUCCESS 0 2 1 4 2 3 #vars: (size-variables 604831); #primary: (size-primary 4880); #clauses: (size-clauses 633437)
SUCCESS 0 2 1 4 3 3 #vars: (size-variables 604831); #primary: (size-primary 4880); #clauses: (size-clauses 633437)
SUCCESS 0 3 1 1 2 4 #vars: (size-variables 604831); #primary: (size-primary 4880); #clauses: (size-clauses 633437)
SUCCESS 0 3 1 1 3 4 #vars: (size-variables 604831); #primary: (size-primary 4880); #clauses: (size-clauses 633437)
SUCCESS 0 3 1 2 2 4 #vars: (size-variables 604831); #primary: (size-primary 4880); #clauses: (size-clauses 633437)
SUCCESS 0 3 1 2 3 4 #vars: (size-variables 604831); #primary: (size-primary 4880); #clauses: (size-clauses 633437)
SUCCESS 0 3 1 4 2 1 #vars: (size-variables 604831); #primary: (size-primary 4880); #clauses: (size-clauses 633437)
SUCCESS 0 3 1 4 2 2 #vars: (size-variables 604831); #primary: (size-primary 4880); #clauses: (size-clauses 633437)
SUCCESS 0 3 1 4 3 1 #vars: (size-variables 604831); #primary: (size-primary 4880); #clauses: (size-clauses 633437)
SUCCESS 0 3 1 4 3 2 #vars: (size-variables 604831); #primary: (size-primary 4880); #clauses: (size-clauses 633437)
SUCCESS 0 4 1 1 2 3 #vars: (size-variables 604831); #primary: (size-primary 4880); #clauses: (size-clauses 633437)
SUCCESS 0 4 1 1 3 3 #vars: (size-variables 604831); #primary: (size-primary 4880); #clauses: (size-clauses 633437)
SUCCESS 0 4 1 2 2 3 #vars: (size-variables 604831); #primary: (size-primary 4880); #clauses: (size-clauses 633437)
SUCCESS 0 4 1 2 3 3 #vars: (size-variables 604831); #primary: (size-primary 4880); #clauses: (size-clauses 633437)
SUCCESS 0 4 1 3 2 1 #vars: (size-variables 604831); #primary: (size-primary 4880); #clauses: (size-clauses 633437)
SUCCESS 0 4 1 3 2 2 #vars: (size-variables 604831); #primary: (size-primary 4880); #clauses: (size-clauses 633437)
SUCCESS 0 4 1 3 3 1 #vars: (size-variables 604831); #primary: (size-primary 4880); #clauses: (size-clauses 633437)
SUCCESS 0 4 1 3 3 2 #vars: (size-variables 604831); #primary: (size-primary 4880); #clauses: (size-clauses 633437)
